#SkillNo	SkillName	NeedToSelectTarget	SkillType	TargetType	TargetArea	Range	AOE	MinDamage	MaxDamage	UseAp	CD	UseSkillAfterMove	condition	SkillEffectID	sSkillIcon
100001001	Thiên Thượng Thiên Hạ	1	0	2	0	2	1	800	900	200	0	1	500052	100001001	s01007
100001002	Duy Ngã Độc Tôn	1	0	2	0	2	1	800	900	300	3	1	500000	100001002	s02009
100001003	Thiên Vương Thác Tháp	1	0	2	1	3	0	900	1000	400	4	1	500001,500012	100001003	s02010
100001004	Hóa Kính Quy Nguyên	1	0	2	0	1	0	500	600	300	0	1	500086,500090	100017001	s01057
100001005	Bát Mạch Thăng Hoa	0	1	1	0	0	0	800	1400	800	4	1	500042	100017003	s04004
100002001	Thiên Thượng Thiên Hạ	1	0	2	0	2	1	1500	1600	300	0	1	500052,500009	100002001	s01007
100002002	Duy Ngã Độc Tôn	1	0	2	0	2	1	1700	1900	500	2	1	500000,500008	100002002	s02009
100002003	Thiên Vương Thác Tháp	1	0	2	1	3	0	2000	2100	700	4	1	500001,500051,500012	100002003	s02010
100003001	Long Cầm Công	0	0	2	0	1	1	900	1000	100	0	1	500008	100003003	s02003
100003002	Độc Tôn Long Vương Ấn	1	0	2	0	2	1	800	900	300	3	1	500014,500013	100003002	s01007
100003003	Phách Giả Hoành Lan	0	0	2	0	0	3	1200	1300	400	4	1	500000,500042	100003001	s02006
100004001	Long Cầm Công	0	0	2	0	1	1	1300	1500	200	0	1	500008,500009	100005003	s02003
100004002	Độc Tôn Long Vương Ấn	1	0	2	0	2	1	1300	1500	400	2	1	500014,500013,500023	100005002	s01007
100004003	Phách Giả Hoành Lan	0	0	2	0	0	3	1400	1600	800	3	1	500000,500051,500027	100005001	s02006
100005001	Tu La Diệt	1	0	2	0	2	0	1200	1500	200	0	1	500008,500004	100006001	s01033
100005002	Tu La Tiêm	0	0	2	0	0	1	1200	1400	400	3	1	500039,500003	100006002	s01034
100005003	Tu La Phách	1	0	2	1	2	0	1400	1700	600	4	1	500012,500035	100006003	s01035
100007001	Châu Hoa Dương Vũ	1	0	2	1	3	0	900	1000	200	0	1	500013,500007	100007001	s01031
100007002	Phi Sa Tẩu Thạch	0	0	2	0	0	2	800	900	400	2	1	500132,500013	100007002	s02006
100007003	Cao Sơn Lưu Thủy	1	0	2	2	3	0	900	1000	600	3	1	500001,500013,900036	100007003	s02003
100008001	Hồ Già Thập Bát Phách	1	0	2	1	3	0	800	900	200	0	1	500013,900033	100008001	s01031
100008002	Xuân Giang Hoa Nguyệt Dạ	0	1	1	0	0	3	900	1200	400	3	1	500041,900034	100008002	s04008
100008003	Thập Diện Mai Phục	0	0	2	0	0	3	600	700	600	2	1	500013,900035	100008003	s02009
100009001	Kim Điêu Bằng Phi	1	0	2	0	2	0	900	1200	100	0	1	500052,900102	100009001	s01008
100009002	Kim Dực Triển Sí	1	0	2	3	1	0	700	1100	240	0	1	500052,500018	100009002	s01009
100009003	Nhất Minh Kinh Nhân	1	0	2	0	3	0	1300	1500	320	3	1	500028,500039	100009003	s01030
100010001	Võng Lượng Tồi Tâm	1	0	2	0	1	0	900	1000	100	0	1	500052,500006	100010001	s01003
100010002	Ly Hồn Thất Bộ	1	0	2	0	1	0	900	1000	300	2	1	500005,500006	100010002	s03005
100010003	Tồi Tâm Đoạn Hồn	1	0	2	0	1	0	1000	1200	400	3	1	500013,500049	100010003	s03002
100011001	Nghiệp Hỏa Hồng Liên	1	0	2	0	1	0	1100	1300	150	0	1	500004	100011001	s01009
100011002	Huyết Dạ Ẩn	1	0	2	0	2	0	900	1100	300	3	1	500002,900102	100011002	s01006
100011003	Dạ Xoa Tham Hải	0	0	2	0	0	1	1000	1200	400	2	1	500023,500024,500132	100011003	s02009
100012001	Đãng Kiếm Thức	1	0	2	1	2	0	850	900	150	0	1	0	100012001	s01029
100012002	Liêu Kiếm Thức	1	0	2	0	2	1	900	1100	300	3	1	500004	100012002	s01022
100012003	Loạn Kiếm Thức	1	0	2	3	1	0	1000	1300	500	4	1	500013,500012	100012003	s01019
100013001	Tiêu Sử Thừa Long	1	0	2	1	2	0	440	680	100	0	1	500008	100013001	s01029
100013002	Sơn Ngoại Thanh Âm	0	1	1	0	0	2	200	400	150	2	1	900037	100013003	s05007
100013003	Phượng Khúc Trường Minh	0	1	1	0	0	2	500	900	300	3	1	500041,900038	100013002	s04005
100014000	Huy Kiếm	1	0	2	0	1	0	100	150	0	0	1	0	100014000	s01049
100014001	Phù Diêu Trực Thượng	1	0	2	0	1	0	300	350	75	0	1	500052	100014001	s01007
100014002	Bằng Phi Thiên Lý	1	0	2	0	2	0	350	400	150	2	1	500000	100014002	s01011
100014003	Biến Quyền	1	0	2	0	1	0	300	400	150	0	1	500052,500132	100014003,100014004,100014005	s01004
100014004	Thạch Phá Thiên Kinh	1	0	2	0	1	0	800	1200	600	2	1	500000,500039	100014006	s01002
100014005	Tiến Bộ Song Chưởng	1	0	2	0	1	0	350	400	150	0	1	0	100014005	s01001
100014007	Dương Xuân Bạch Tuyết	1	0	2	0	1	0	450	500	150	0	1	500052	100014007	s01003
100014008	Dương Quan Tam Điệt	1	0	2	3	1	0	600	650	450	2	1	500052,500005	100014008	s01005
100014009	Lục Dương Dung Tuyết	0	1	1	0	0	0	300	400	750	2	1	500019,500026,500025	100014009	s05009
100014010	Túy Tửu Bát Tí Liên Hoàn Thích	0	0	2	0	0	1	300	400	250	0	1	500053,500195	100014010	s01011
100014011	Túy Tửu Đề Hồ Lực Thiên Quân	1	0	2	0	2	0	500	600	450	2	1	500015,500195	100014011	s01007
100014012	Đạn Yêu Hiến Tửu Túy Đương Bộ	1	0	2	0	2	0	600	700	600	3	1	500053,500017,500195	100014012	s01010
100014013	Đoạn Hồn Kỳ Độc	1	0	2	0	1	0	444	499	150	0	1	500049	100014013	s03002
100014014	Quỷ Khốc Thần Hào	1	0	2	0	1	0	544	599	600	2	1	500009,500000	100014014	s03004
100014015	Nguyệt Khuyết Quyết	1	0	2	0	3	0	500	600	300	0	1	500028	100014015	s01048
100014016	Nguyệt Trướng Quyết	1	0	2	3	1	0	600	700	750	2	1	500008	100014016	s01032
100014017	Nguyệt Minh Quyết	0	1	1	0	0	0	200	300	600	2	1	500192,500022,500023	100014017	s05010
100014018	Phi Long Tại Thiên	1	0	2	0	2	0	600	700	300	0	1	500052,500014	100014018	s01003
100014019	Long Chiến Vu Dã	1	0	2	1	3	0	700	800	450	2	1	500001,500052	100014019	s02010
100014020	Kháng Long Hữu Hối	1	0	2	1	3	0	800	1000	700	3	1	500000,500015	100014020	s01053
100014021	Độ Nhất Thiết Khổ Ách	1	0	2	0	2	0	450	550	250	0	1	500027,500001	100014021	s01045
100014022	Vô Khổ Tịch Diệt Đạo	1	0	2	0	2	1	500	600	600	3	1	500000	100014022	s01044
100014023	Vô Vô Minh Ấn	0	1	1	0	0	0	400	500	900	4	1	500012,500025	100014023	s05010
100014024	Dương Ý Khứ Âm	1	0	2	0	2	0	550	600	450	0	1	500013	100014024	s01006
100014025	Nhất Ngôn Cửu Đỉnh	1	0	2	0	2	0	300	400	900	3	1	500002,500135	100014025	s01059
100014026	Chúc Long Khấp Thiên	1	0	2	0	1	0	310	410	150	0	1	500052,500006	100014026	s03003
100014027	Âm Phong Khiếu Nhạc	0	0	2	0	0	1	310	410	300	2	1	500049,500009	100014027	s03005
100014028	Cửu Âm Truy Hồn Phá	1	0	2	0	1	0	450	550	600	3	1	900102,500013	100014028	s03002
100014029	Phi Lưu Tam Thiên Xích	1	0	2	0	3	0	340	400	150	0	1	500052	100014029	s01029
100014030	Ngân Hà Lạc Cửu Thiên	1	0	2	0	2	1	450	500	450	2	1	500051,500013	100014030	s01034
100014031	Phi Hồng Kính	0	1	1	0	0	0	700	800	450	2	1	500017,500014	100014031	s05003
100014032	Kiếm Khí Túng Hoành	1	0	2	1	4	0	500	600	600	0	1	500013,500027,500052	100014032	s01042
100014033	Lục Mạch Thập Sát	0	0	2	0	0	2	750	900	900	3	1	500013,500004,500027	100014033	s01035
100014034	Nguyệt Xạ Hàn Giang	1	0	2	0	1	0	250	350	150	0	1	500160	100014034	s01049
100014035	Thiên Nhược Hữu Tình	1	0	2	1	3	0	400	500	300	2	1	500015	100014035	s01019
100014036	Tình Thâm Nghĩa Trọng	1	1	1	0	1	0	800	1000	750	4	1	500055	100014036	s05001
100014037	Yên Vũ Mê Mông	1	0	2	0	1	0	200	300	150	0	1	500013	100014037	s01041
100014038	Tiêu Tương Thủy Vân	1	0	2	1	3	0	320	380	300	2	1	500013	100014038	s02002
100014039	Nho Kiếm Thức	1	0	2	0	1	0	350	450	300	0	1	500020	100014039	s01060
100014040	Đạo Kiếm Thức	1	0	2	0	1	0	500	600	600	3	1	900013	100014040	s02007
100014041	Mặc Kiếm Thức	0	0	2	0	1	1	300	400	600	3	1	500013	100014041	s01034
100014042	Đãng Kiếm Thức	1	0	2	0	2	0	290	390	300	0	1	500013	100014042	s02006
100014043	Liêu Kiếm Thức	1	0	2	0	2	1	390	490	450	3	1	500013,500132	100014043	s01042
100014044	Loạn Kiếm Thức	1	0	2	3	1	0	490	590	600	4	1	500013,500012	100014044	s01052
100014045	Thanh Long Khiếu Thiên	1	0	2	0	1	0	350	450	225	0	1	500018	100014045	s02003
100014046	Phượng Dực Thiên Tường	0	0	2	0	1	1	350	400	525	3	1	500013	100014046	s02007
100014047	Bất Động Như Sơn	0	1	1	0	0	0	300	400	300	2	1	500042,500192	100014047	s05002
100014048	Tộc Bào Nguyệt Canh Đao	1	0	2	0	1	0	300	400	225	0	1	500052,500018	100014048	s01054
100014049	Lương Bào Tuế Canh Đao	1	0	2	0	1	0	400	500	400	2	1	500052,500132	100014049	s01021
100014050	Du Nhận Tất Hữu Dư	1	0	2	0	1	0	600	700	500	3	1	500052,500039	100014050	s01047
100014051	Minh Côn Trảm	1	0	2	0	1	0	300	330	150	0	1	500004	100014051	s01026
100014052	Nhất Du Nhận	1	0	2	1	2	0	350	450	300	2	1	500008	100014052	s01062
100014053	Bác Cực Nhi Phục	1	0	2	1	2	0	350	400	350	0	1	500008	100014053	s01038
100014054	Phục Vô Cực Dã	1	0	2	1	2	0	450	600	600	3	1	500015	100014054	s01063
100014055	Tối Vô Cực	0	1	1	0	0	0	200	300	400	2	1	600022	100014055	s05008
100014056	Lôi Đình Vẫn Lạc	1	0	2	0	1	0	400	500	250	0	1	500027,500051	100014056	s01026
100014057	Phích Lịch Tật Trảm	1	0	2	0	2	0	450	550	450	2	1	900012,500035	100014057	s01021
100014058	Tam Thiên Lôi Động	1	0	2	0	2	1	700	800	600	4	1	500001,500039	100014058	s01038
100014059	Phong Tùy Bạch Vân Phi	1	0	2	3	2	0	150	200	150	0	1	500001,500022	100014059	s01013
