#CharID	Name	Rank	Neigong	HP	SP	Critical	Dodge	Conter	Move	Defance	RoutineID	Voice
10000103	Thiên Vương	Địa	10028	99999	4800	6	6	6	3	600	10001	100001
10000204	Thiên Vương	Thiên	10028	99999	6800	12	12	30	3	800	10002	100002
10000205	Thiên Vương	Thiên	10028	99999	9800	12	12	30	3	900	10002	100002
10000206	Thiên Vương	Thiên	10094	99999	9800	12	12	50	3	900	10002	100002
10000207	Thiên Vương	Thiên	10097	99999	2400	5	5	15	2	350	10003	100002
10000208	Thiên Vương	Thiên	10094	99999	9800	12	12	30	3	900	10002	100002
10000303	Long Vương	Địa	10027	99999	3100	14	6	20	4	500	10006	100003
10000404	Long Vương	Thiên	10027	99999	5900	18	8	30	4	700	10007	100004
10000405	Long Vương	Thiên	10027	99999	9000	18	8	30	4	700	10007	100004
10000406	Long Vương	Thiên	10027	99999	9000	18	8	30	4	700	10007	100004
10000603	A Tu La	Địa	10029	99999	2600	30	4	12	3	300	10011	100006
10000604	A Tu La	Thiên	10029	99999	3000	30	4	12	3	300	10011	100006
10000605	A Tu La	Thiên	10029	99999	6800	30	4	12	3	500	10011	100006
10000606	A Tu La	Thiên	10029	99999	4800	30	4	12	3	500	10011	100006
10000703	Khẩn Na La	Địa	10034	99999	2400	6	9	2	3	300	10016	100007
10000704	Khẩn Na La	Địa	10034	99999	3600	6	15	15	3	300	10016	100007
10000803	Kiền Đạt Bà	Địa	10033	99999	2000	15	10	0	3	140	10021	100008
10000804	Kiền Đạt Bà	Địa	10033	99999	4200	15	15	0	3	140	10021	100008
10000903	Già Lâu La	Địa	10031	99999	3200	10	16	10	4	480	10026	100009
10000904	Già Lâu La	Địa	10031	99999	4500	10	16	30	4	600	10026	100009
10000905	Già Lâu La	Địa	10031	99999	3600	10	16	30	4	600	10026	100009
10001003	Ma Hô La Già	Địa	10032	99999	4000	10	10	12	3	400	10031	100010
10001004	Ma Hô La Già	Địa	10032	99999	8300	15	15	15	3	400	10031	100010
10001005	Ma Hô La Già	Địa	10032	99999	6300	15	15	15	3	400	10031	100010
10001103	Dạ Xoa	Địa	10030	99999	2000	20	26	2	4	200	10246	100011
10001104	Dạ Xoa	Địa	10030	99999	3000	24	30	2	4	200	10246	100011
10001105	Dạ Xoa	Địa	10030	99999	7800	24	30	2	4	200	10246	100011
10001106	Dạ Xoa	Địa	10030	99999	6000	24	30	2	4	200	10246	100011
10001107	Dạ Xoa	Địa	10030	99999	4800	24	30	2	4	200	10246	100011
10001203	Đông Phương Hi	Địa	10035	99999	4200	12	6	16	3	450	10041	100012
10001302	Đông Phương Hi	Huyền	10033	99999	2400	4	8	2	3	100	10636	100013
10001401	Đông Phương Vị Minh	Hoàng	0	99999	1280	7	7	7	3	200	0	100014
