#ID	Name	Desc	iExp	iNeigongType	sIcon1	sCIcon1	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit
60001	Tiêu Dao Tâm Pháp	[00FF00]Ngự Tiên[-] : Hồi phục 5% Sinh lực và 10% Nội lực. <br>[40E0D0]Tiêu Dao[-] : Có tỉ lệ hóa giải một trạng thái bất lợi.	1	4	NeigongImage02	NeigongImage22	0	0	1	5	5	0	1	0	1	10	10	10	20	0	0	0	2	0	0	10	1	0	700009	80	0	0	0	0	0	0																														
60002	Nhật Nguyệt Thần Công	[FF8C00]Âm Dương[-] : Liên tục tăng Sát thương và Phòng ngự, tối đa 400.	2	3	NeigongImage03	NeigongImage23	3	1	0	40	60	400	4	1	0	40	60	400	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
60003	Đông Phương Bảo Điển	[00FF00]Vị Minh[-] : Hồi phục 6% Sinh lực và Nội lực. <br>[00FFFF]Vị Hi[-] : Đồng đội trong 2 ô tăng 100% Chính xác.	3	3	NeigongImage04	NeigongImage24	0	0	1	6	6	0	8	5	1	100	100	2	1	0	1	6	6	0	0	10	1	0	700009	80	0	0	0	0	0	0																														
60004	Tàn Hoa Bảo Giám	[AFEEEE]Phi Thương[-] : Liên tục tăng Né tránh, tối đa 40%.<br>[FF00FF]Liên Trảm[-] : Giết địch được hành động thêm nhưng Nội lực tiêu hao gấp đôi. <br>[FFFF00]Mị Ảnh[-] : Di chuyển + 2 , Hành động + 2	3	5	NeigongImage05	NeigongImage25	6	1	1	5	8	40	23	4	0	0	0	0	9	0	0	2	2	2	22	0	0	2	2	2	0	10	1	0	700009	80																														
60005	Thiên Long Bát Bộ Công	[00FF00]Thiên Long[-] : Hồi phục 8% Sinh lực.<br>[FF8C00]Bát Bộ[-] : Liên tục tăng Sát thương, Phản kích, Bạo kích, Né tránh, tối đa 40%.	4	1	NeigongImage06	NeigongImage26	0	0	1	8	8	0	3	1	1	4	6	40	5	1	1	4	6	40	6	1	1	4	6	40	7	1	1	4	6	40	0	10	1	0	700009	80																								
60006	Kim Nhạn Công	[AFEEEE]Hoành Không[-] : Né tránh tăng 20%.<br>[FFFF00]Nhật Mộ[-] : Di chuyển +1, Hành động +1<br>[FFA500]Lăng Không[-]: Sau né tránh gia tăng công kích 30%, chính xác 100%	1	4	NeigongImage07	NeigongImage27	6	0	1	20	20	0	9	0	0	1	1	1	22	0	0	1	1	1	6	7	0	500176	0	0	0	10	1	0	700009	80																														
60007	Hổ Khiếu Công	[DC143C]Thêm Cánh[-] : Liên tục tăng Bạo kích và Phản kích, tối đa 60%. <br>[FFA500]Hổ Đói[-] : Sinh lực thấp hơn 40% phát động Cuồng Bạo. <br>[FFA500]Hổ Khiếu[-] : Bạo kích khiến Kẻ địch bị Phá Giáp.	1	1	NeigongImage08	NeigongImage28	5	1	1	3	6	60	7	1	1	4	6	60	0	10	1	600021	0	40	7	7	0	0	500008	0	0	10	1	0	700009	80																														
60008	Ngũ Độc Xích Diễm Công	[32CD32]Độc Diễm[-] : Kẻ địch trong 2 ô bị Trúng Độc. <br>[F0E68C]Độc Thể[-] : Miễn dịch Trúng Độc.	2	5	NeigongImage09	NeigongImage29	0	9	1	8	4	2	1	9	1	10	5	2	3	9	1	10	5	2	4	9	1	10	5	2	31	4	0	0	0	0	0	10	1	0	700009	80																								
60009	Thiện Tông Liên Hoa Công	[7FFFD4]Pháp Hoa[-] : Phản 50% Sát thương phải nhận<br>[40E0D0]Hoa Công[-] : Có tỉ lệ hóa giải các trạng thái bất lợi. <br>[00FFFF]Niết Bàn[-] : Đồng đội trong 2 ô tăng 150 đến 300 Sát thương.<br>[00FFFF]Tịnh Thổ[-] : Đồng đội trong 1 ô tăng 300 đến 600 Phòng ngự.	2	3	NeigongImage10	NeigongImage30	15	0	1	50	50	0	20	0	0	0	3	0	3	5	0	300	150	2	4	5	0	600	300	2	0	10	1	0	700009	80																														
60010	Tiểu Vô Tương Công	[7FFFD4]Vô Tướng[-] : Phản kích lại chính chiêu thức của Kẻ địch cùng hệ. <br>[DDA0DD]Vô Vãng[-] : Liên tục tăng Phản kích, tối đa 60%, vô hạn Phản kích.<br>[FFA500]Vô Niệm[-] : Phản kích hồi phục 10% Nội lực.	4	3	NeigongImage11	NeigongImage31	5	7	0	500154	0	0	5	1	1	5	8	60	30	4	0	0	0	0	29	4	0	0	0	0	0	10	1	0	700009	80																														
60011	Bắc Minh Thần Công	[FF8C00]Xuyên Hải[-] : Hấp thu 50% Nội lực từ Sát thương gây ra.<br>[6495ED]U Minh[-] : Nội lực đỡ 70% Sát thương phải nhận.<br>[FF7F50]Nộ Lưu[-] : Nội lực lớn hơn 90%, Sát thương tăng 20% <br>[FF0000]Tẫn Cuồng[-] : Nội lực thấp hơn 10%, Sát thương tăng 300%.	4	3	NeigongImage12	NeigongImage32	18	0	1	50	50	0	16	0	1	70	70	0	1	10	1	0	500106	90	1	10	1	500120	0	10	0	10	1	0	700009	80																														
60012	Tẩy Tủy Kinh	[FF8C00]Hợp Thần[-] : Sinh lực càng nhiều, Sát thương tăng càng lớn. <br>[F0E68C]Quy Nguyên[-] : Sinh lực thấp hơn 30% phát động Rèn Thể Quy Nguyên. <br>[00FF00]Đồng Quy[-] : Hồi phục 12% Sinh lực.	4	1	NeigongImage13	NeigongImage33	0	10	1	0	500173	60	0	10	1	0	500174	80	0	10	1	0	500175	95	0	10	1	500107	0	30	0	0	1	12	12	0	1	0	1	12	12	0	0	10	1	0	700009	80																		
60013	Lăng Ba Vi Bộ	[FFFF00]Phiêu Thần[-] : Di chuyển +10, Hành động +10<br>[AFEEEE]Vô Thường[-] : Né tránh tăng 50%, Miễn dịch Choáng Váng. <br>[FFA500]Khí Nhược[-] : Sau né tránh liên tục hồi phục 20% Nội lực.<br>Hóa giải các trạng thái bất lợi.	4	1	NeigongImage14	NeigongImage34	9	0	0	10	10	10	22	0	0	10	10	10	6	0	1	50	50	50	6	7	0	910007	0	0	33	4	0	0	0	0	0	10	1	0	700009	50	6	7	0	500018	0	0																		
60014	Cửu Dương Thần Công	[FF8C00]Cửu[-] : Bạo kích gây thêm 15% Sinh lực bản thân vào Sát thương gây ra.<br>[40E0D0]Dương[-] : Nội lực lớn hơn 50% phát động Tịnh hóa. <br>[00FF00]Thần[-] : Hồi phục 15% Sinh lực và Nội lực.<br>[6495ED]Công[-] : Nội lực đỡ 50% Sát thương phải nhận. Bảo hộ đồng đội 1 ô.	4	1	NeigongImage15	NeigongImage35	7	7	0	0	500210	0	16	0	1	50	50	0	26	5	0	0	0	1	0	0	1	15	15	0	1	0	1	15	15	0	1	10	1	0	500042	50	0	10	1	0	700009	50																		
60015	Cửu Âm Chân Kinh	[FF8C00]Cửu[-] : Tấn công gây thêm 5% Sinh lực của kẻ địch vào Sát thương gây ra.<br>[40E0D0]Âm[-] : Nội lực lớn hơn 50% phát động Tịnh hóa, Chân Nguyên Hộ Thể, Thiên Chuy Bách Luyện. <br>[00FF00]Chân[-] : Thôn Phệ.<br>[6495ED]Kinh[-] : Đại Thần Hành.	4	1	NeigongImage15	NeigongImage35	8	7	0	0	800002	0	1	10	1	0	500042	50	0	10	1	0	700009	50	0	10	1	0	900123	50	17	0	1	200	200	0	18	0	1	200	200	0	9	0	0	10	10	10	22	0	0	10	10	10																		
10001	Thú Thần Công	[DDA0DD]Khặc Ngạo[-] : Liên tục tăng Phản kích, tối đa 40%, vô hạn Phản kích.<br>[DC143C]Thô Bạo[-] : Liên tục tăng Bạo kích, tối đa 40%<br>[32CD32]Uy Áp[-] : Kẻ địch trong 2 ô giảm 15% đến 30% Né tránh.	0	0	0	0	29	4	0	0	0	0	7	1	1	1	4	40	5	1	1	2	4	40	6	9	1	30	15	2	0	0	0	0	0	0																														
10002	Vạn Độc Tâm Kinh	[32CD32]Độc Nhiễu[-] : Kẻ địch trong 2 ô bị Trúng Độc. <br>[F0E68C]Độc Tố[-] : Miễn dịch Trúng Độc.	0	0	0	0	0	9	1	8	4	2	1	9	1	10	5	2	3	9	1	10	5	2	4	9	1	10	5	2	31	4	0	0	0	0																														
10003	Phi Yến Công	[AFEEEE]Chim Yến[-] : Liên tục tăng Né tránh, tối đa 40%.<br>[FFA500]Ngân Yến[-] : Né tránh phát động Thần hành.	0	0	0	0	6	1	1	2	4	40	6	7	0	500014	0	0	22	4	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0																														
10004	Vạn Hoa Ly Kinh	[40E0D0]Hoa Vô Khuyết[-] : Có tỉ lệ hóa giải các trạng thái bất lợi. <br>[DC143C]Hoa Mãn Lâu[-] : Liên tục tăng Bạo kích, tối đa 30%.<br>[FFA500]Hoa Ly Kinh[-] : Bạo kích phát động Tả Hữu Hỗ Bác.	0	0	0	0	20	0	0	0	3	0	7	1	1	3	6	30	7	7	0	500015	0	0																																										
10005	Dã Quyền Thần Công	[DC143C]Sai Tâm[-] : Liên tục tăng Bạo kích, tối đa 40%<br>[FFA500]Đánh Tan[-] : Bạo kích bổ trợ thêm 600 đến 1200 Sát thương.	0	0	0	0	7	1	1	4	8	40	7	7	0	0	700012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10006	Tâm Hợp Ý Khí Lưu ‧ Minh	[DDA0DD]Rút Đao[-] : Liên tục tăng Phản kích, tối đa 60%<br>[FF00FF]Liên Trảm[-] : Giết địch được hành động thêm nhưng Nội lực tiêu hao gấp đôi. <br>[FFA500]Khí Lưu[-] : Phản kích phát động Khai nhãn.	0	0	0	0	5	1	1	3	6	60	19	4	0	0	0	0	23	4	0	0	0	0	5	7	0	500018	0	0																																				
10007	Phích Lịch Tâm Pháp	[FFA500]Sấm Sét[-] : Bạo kích phát động Cuồng Bạo. <br>[FF8C00]Vạn Quân[-] : Liên tục tăng Sát thương, tối đa 30%.	0	0	0	0	3	1	1	2	4	30	7	7	0	600021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10008	Bào Đinh Giải Ngưu Công	[DC143C]Thần Thức[-] : Liên tục tăng Bạo kích, tối đa 40%.<br>[FF00FF]Liên Trảm[-] : Giết địch được hành động thêm nhưng Nội lực tiêu hao gấp đôi.	0	0	0	0	7	1	1	3	5	40	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
10009	Thiên Kiếm Quyết	[DDA0DD]Kiếm Thuấn[-] : Liên tục tăng Phản kích, tối đa 50%.<br>[FFA500]Cuồng Bạo[-] : Sinh lực thấp hơn 50% phát động Cuồng Bạo.	0	0	0	0	0	10	1	600021	0	50	5	1	1	4	6	50	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
10010	Tuyệt Đao Thế	[00FF00]Khí Đao[-] : Hồi phục 6% Sinh lực. <br>[00FFFF]Đao Bích[-] : Đồng đội trong 2 ô tăng 500 Phòng ngự.	0	0	0	0	0	0	1	6	6	6	4	5	0	500	500	2	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
10011	Hiệp Ảnh Quyết	[DC143C]Hiệp Ảnh[-] : Liên tục tăng Bạo kích, Phản kích, Né tránh, tối đa 50%<br>[FF00FF]Liên Trảm[-] : Giết địch được hành động thêm nhưng Nội lực tiêu hao gấp đôi	0	0	0	0	5	1	1	4	6	50	6	1	1	4	6	50	7	1	1	4	5	50	23	4	0	0	0	0	0	10	1	0	700009	80																														
10012	Thiên Sơn Tâm Pháp	[FFA500]Băng Giá[-] : Né tránh hồi phục 15% đến 20% Sinh lực.<br>[00FFFF]Thiên Thủy[-] : Đồng đội trong 1 ô tăng 30% Né tránh.	0	0	0	0	6	7	0	500108	0	0	6	5	1	30	30	1	0	10	1	0	700009	80	0	0	0	0	0	0	0	0	0	0	0	0																														
